skin_color;age;sex;complement;death_type;city;neighborhood;date;hour
Parda;21.0;Masculino;Homicídio;PAF;Colônia Leopoldina;Centro;15/01/2016;23
Parda;23.0;Masculino;Homicídio;PAF;Mata Grande;Zona Rural;16/01/2016;02
Parda;18.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;16/01/2016;16
Branca;20.0;Masculino;Homicídio;PAF;Coruripe;Centro;16/01/2016;17
Parda;33.0;Masculino;Homicídio;PAF;Santana do Ipanema;Zona Rural;16/01/2016;19
Parda;15.0;Masculino;Homicídio;PAF;Colônia Leopoldina;Centro;16/01/2016;19
Parda;20.0;Masculino;Homicídio;PAF;Piaçabuçu;Centro;16/01/2016;20
NI;41.0;Masculino;Roubo com Resultado Morte;PAF;Arapiraca;Alto do Cruzeiro;16/01/2016;21
Parda;24.0;Masculino;Homicídio;BRANCA;Maceió;Bebedouro;17/01/2016;00
Branca;23.0;Masculino;Roubo com Resultado Morte;PAF;Major Isidoro;Zona Rural;17/01/2016;00
Preta;56.0;Masculino;Homicídio;BRANCA;Maragogi;Zona Rural;17/01/2016;11
Parda;22.0;Masculino;Homicídio;PAF;Teotônio Vilela;Centro;17/01/2016;19
Parda;17.0;Masculino;Homicídio;BRANCA;Marechal Deodoro;Centro;17/01/2016;21
Parda;32.0;Masculino;Homicídio;PAF;Delmiro Gouveia;Zona Rural;17/01/2016;23
Branca;NA;Masculino;Homicídio;PAF/B;Murici;Zona Rural;18/01/2016;01
Parda;75.0;Masculino;Homicídio;OUTROS;Santana do Ipanema;Centro;18/01/2016;01
Branca;43.0;Masculino;Homicídio;PAF;São Sebastião;Zona Rural;18/01/2016;19
Branca;25.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;19/01/2016;04
Parda;21.0;Masculino;Homicídio;BRANCA;Coruripe;Centro;19/01/2016;08
Parda;70.0;Masculino;Homicídio;PAF;São Miguel dos Campos;Centro;19/01/2016;18
Parda;21.0;Masculino;Homicídio;PAF;Murici;Zona Rural;20/01/2016;00
Amarela;51.0;Masculino;Homicídio;ATROPELAMENTO;Messias;Centro;20/01/2016;05
Parda;22.0;Masculino;Homicídio;PAF;Mata Grande;Centro;20/01/2016;11
Parda;53.0;Masculino;Homicídio;PAF;Mata Grande;Centro;20/01/2016;11
Parda;18.0;Masculino;Homicídio;PAF;Maceió;Santa Lúcia;20/01/2016;21
Branca;3.0;Masculino;Homicídio;ESPANCAMENTO;Arapiraca;Planalto;21/01/2016;06
Parda;NA;Masculino;Homicídio;PAF;São Luís do Quitunde;Zona Rural;21/01/2016;08
Parda;19.0;Feminino;Homicídio;BRANCA;Maceió;Gruta de Lourdes;21/01/2016;13
Parda;32.0;Masculino;Homicídio;PAF;Coruripe;Centro;21/01/2016;19
Parda;16.0;Feminino;Homicídio;PAF;Novo Lino;Centro;22/01/2016;00
Preta;17.0;Masculino;Homicídio;PAF;Novo Lino;Centro;22/01/2016;00
Parda;19.0;Masculino;Homicídio;ESPANCAMENTO;Arapiraca;Zona Rural Oeste;22/01/2016;01
Preta;35.0;Masculino;Homicídio;PAF;Japaratinga;Zona Rural;22/01/2016;05
Parda;27.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;22/01/2016;12
Parda;27.0;Masculino;Homicídio;PAF;Barra de Santo Antônio;Zona Rural;22/01/2016;17
Branca;56.0;Masculino;Homicídio;PAF;Santana do Ipanema;Centro;22/01/2016;22
Parda;26.0;Feminino;Feminicídio;PAF;Santana do Ipanema;Centro;22/01/2016;22
Parda;17.0;Masculino;Homicídio;PAF;Rio Largo;Centro;23/01/2016;00
Branca;59.0;Masculino;Homicídio;BRANCA;Coité do Nóia;Centro;23/01/2016;13
Parda;34.0;Masculino;Homicídio;PAF;Poço das Trincheiras;Zona Rural;23/01/2016;19
Preta;36.0;Masculino;Homicídio;PAF;Maceió;Farol;23/01/2016;22
Preta;22.0;Masculino;Homicídio;PAF;Campo Alegre;Centro;24/01/2016;00
Parda;43.0;Masculino;Homicídio;PAF;Branquinha;Centro;24/01/2016;10
Preta;33.0;Masculino;Homicídio;ESPANCAMENTO;Campo Alegre;Centro;24/01/2016;21
Parda;50.0;Masculino;Homicídio;PAF;Arapiraca;Zona Rural Oeste;24/01/2016;22
Parda;24.0;Masculino;Homicídio;PAF;Pilar;Chã do Pilar;25/01/2016;13
