skin_color;age;sex;complement;death_type;city;neighborhood;date;hour
Parda;38.0;Masculino;Homicídio;ESPANCAMENTO;Barra de Santo Antônio;Centro;21/08/2017;04
Branca;24.0;Masculino;Homicídio;PAF;Roteiro;Centro;21/08/2017;14
Parda;15.0;Masculino;Homicídio;PAF;Pilar;Chã do Pilar;21/08/2017;15
Parda;45.0;Masculino;Homicídio;PAF;Maceió;Pinheiro;21/08/2017;16
Preta;64.0;Feminino;Homicídio;PAF;Ibateguara;Centro;22/08/2017;20
Parda;25.0;Masculino;Homicídio;PAF;União dos Palmares;Roberto Correia de Araújo;22/08/2017;21
Parda;22.0;Masculino;Homicídio;PAF;Arapiraca;Olho d Água dos Cazuzinhos;23/08/2017;22
Parda;23.0;Masculino;Homicídio;ESPANCAMENTO;Maceió;Tabuleiro do Martins;24/08/2017;01
Parda;27.0;Masculino;Homicídio;BRANCA;Atalaia;Zona Rural;24/08/2017;14
Parda;NA;Masculino;Homicídio;PAF;Maceió;Bom Parto;24/08/2017;15
Branca;47.0;Masculino;Homicídio;PAF;São Miguel dos Campos;Zona Rural;24/08/2017;16
Parda;50.0;Feminino;Homicídio;PAF;São Miguel dos Campos;Zona Rural;24/08/2017;16
Branca;32.0;Masculino;Homicídio;PAF;Maceió;Cidade Universitária;25/08/2017;14
Branca;34.0;Masculino;Homicídio;PAF;Igaci;Zona Rural;25/08/2017;15
Parda;37.0;Masculino;Homicídio;PAF;Jundiá;Zona Rural;25/08/2017;18
Branca;32.0;Masculino;Homicídio;PAF;Satuba;Centro;25/08/2017;19
Parda;27.0;Masculino;Homicídio;PAF;Arapiraca;Brasiliana;25/08/2017;19
Parda;33.0;Masculino;Homicídio;PAF;Jundiá;Zona Rural;25/08/2017;21
Branca;35.0;Masculino;Homicídio;PAF/B;Maceió;Benedito Bentes;25/08/2017;21
Parda;19.0;Masculino;Homicídio;PAF;Maceió;Chã da Jaqueira;26/08/2017;04
Preta;36.0;Masculino;Homicídio;PAF;Coruripe;Zona Rural;26/08/2017;12
Parda;NA;Masculino;Homicídio;PAF;Maceió;Vergel do Lago;26/08/2017;16
Parda;32.0;Masculino;Resistência com Resultado Morte;PAF;Arapiraca;Brasília;26/08/2017;22
Parda;24.0;Masculino;Roubo com Resultado Morte;PAF;Maceió;Vergel do Lago;26/08/2017;22
Branca;24.0;Masculino;Homicídio;PAF;Maceió;Vergel do Lago;26/08/2017;22
Parda;33.0;Feminino;Homicídio;PAF;Barra de Santo Antônio;Centro;27/08/2017;00
Parda;17.0;Masculino;Homicídio;PAF;Arapiraca;Bom Sucesso;27/08/2017;03
Branca;34.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;27/08/2017;09
Parda;27.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;27/08/2017;13
Parda;31.0;Masculino;Homicídio;BRANCA;Arapiraca;Povoado Capim;27/08/2017;14
Parda;44.0;Masculino;Homicídio;PAF;Estrela de Alagoas;Zona Rural;27/08/2017;15
Parda;26.0;Masculino;Homicídio;PAF;Maceió;Vergel do Lago;27/08/2017;16
Parda;40.0;Masculino;Homicídio;PAF;Craíbas;Zona Rural;27/08/2017;18
Parda;21.0;Feminino;Homicídio;PAF;Maceió;Benedito Bentes;27/08/2017;18
Parda;24.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;27/08/2017;18
Parda;22.0;Masculino;Homicídio;PAF;Jacuípe;Centro;27/08/2017;22
Parda;22.0;Masculino;Homicídio;PAF;Marechal Deodoro;Centro;28/08/2017;00
Parda;18.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;28/08/2017;06
Parda;19.0;Masculino;Homicídio;BRANCA;Maceió;Cidade Universitária;28/08/2017;09
Parda;13.0;Masculino;Homicídio;PAF;Maceió;São Jorge;28/08/2017;21
Parda;43.0;Masculino;Homicídio;PAF/B;Maceió;Benedito Bentes;28/08/2017;21
Branca;28.0;Masculino;Homicídio;PAF;Maceió;Clima Bom;29/08/2017;01
Branca;39.0;Masculino;Homicídio;PAF;Maceió;Vergel do Lago;29/08/2017;15
Parda;17.0;Masculino;Homicídio;PAF;Maceió;Chã de Bebedouro;29/08/2017;21
Parda;22.0;Masculino;Homicídio;PAF;Maceió;Cidade Universitária;29/08/2017;21
Parda;71.0;Masculino;Roubo com Resultado Morte;ESPANCAMENTO;Murici;Centro;29/08/2017;23
Preta;27.0;Masculino;Homicídio;ASFIXIA MECÂNICA;Maceió;Cidade Universitária;30/08/2017;13
Parda;20.0;Masculino;Resistência com Resultado Morte;PAF;Arapiraca;Manoel Teles;30/08/2017;14
Parda;23.0;Masculino;Resistência com Resultado Morte;PAF;Arapiraca;Manoel Teles;30/08/2017;14
Parda;22.0;Masculino;Homicídio;PAF;Maceió;Tabuleiro do Martins;30/08/2017;23
Parda;22.0;Masculino;Homicídio;PAF;Santana do Ipanema;Zona Rural;31/08/2017;11
Branca;16.0;Masculino;Homicídio;PAF;Rio Largo;Mata do Rolo;31/08/2017;13
Parda;NA;Masculino;Homicídio;NI;Pilar;Zona Rural;31/08/2017;17
Parda;53.0;Masculino;Homicídio;BRANCA;São Sebastião;Zona Rural;02/09/2017;06
Parda;25.0;Masculino;Homicídio;PAF;Santana do Ipanema;Centro;02/09/2017;19
Parda;23.0;Masculino;Homicídio;PAF;Satuba;Centro;02/09/2017;19
Parda;42.0;Masculino;Homicídio;PAF;Porto Real do Colégio;Zona Rural;02/09/2017;21
Parda;63.0;Masculino;Homicídio;PAF;Cajueiro;Centro;03/09/2017;00
Parda;40.0;Masculino;Homicídio;ESPANCAMENTO;Paripueira;Centro;03/09/2017;05
Branca;21.0;Masculino;Homicídio;ESPANCAMENTO;Murici;Centro;03/09/2017;05
Preta;13.0;Masculino;Homicídio;PAF;São José da Laje;Zona Rural;03/09/2017;06
Parda;53.0;Masculino;Homicídio;PAF;Pilar;Chã do Pilar;03/09/2017;16
Parda;26.0;Masculino;Homicídio;PAF;Atalaia;Zona Rural;03/09/2017;18
Parda;24.0;Masculino;Homicídio;PAF;Maragogi;Zona Rural;03/09/2017;23
Parda;34.0;Masculino;Homicídio;PAF;Atalaia;Zona Rural;04/09/2017;00
Parda;38.0;Masculino;Homicídio;BRANCA;Maribondo;Zona Rural;04/09/2017;02
NI;22.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Santa Lúcia;04/09/2017;20
Parda;24.0;Masculino;Homicídio;PAF;Maceió;Clima Bom;04/09/2017;21
NI;19.0;Masculino;Homicídio;PAF;Feira Grande;Centro;04/09/2017;22
Parda;21.0;Masculino;Homicídio;PAF;Porto Calvo;Zona Rural;05/09/2017;17
Parda;24.0;Masculino;Homicídio;PAF;Atalaia;Zona Rural;05/09/2017;19
Parda;23.0;Masculino;Homicídio;PAF;Atalaia;Zona Rural;06/09/2017;12
Parda;30.0;Masculino;Resistência com Resultado Morte;PAF;Arapiraca;Zélia Barbosa Rocha;06/09/2017;12
Branca;NA;Masculino;Homicídio;PAF;Rio Largo;Zona Rural;06/09/2017;15
Parda;32.0;Masculino;Homicídio;PAF;São José da Laje;Centro;06/09/2017;18
Parda;50.0;Masculino;Homicídio;ESPANCAMENTO;Maceió;Benedito Bentes;06/09/2017;23
Parda;24.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;07/09/2017;03
Branca;54.0;Masculino;Homicídio;BRANCA;Arapiraca;Vila Bananeira;07/09/2017;09
Parda;35.0;Feminino;Homicídio;PAF;Pilar;Chã do Pilar;07/09/2017;17
Parda;23.0;Masculino;Homicídio;PAF;Cacimbinhas;Zona Rural;07/09/2017;18
Parda;19.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;07/09/2017;22
Branca;20.0;Masculino;Homicídio;BRANCA;Branquinha;Centro;08/09/2017;00
Parda;15.0;Feminino;Homicídio;PAF;São Miguel dos Campos;Zona Rural;08/09/2017;10
Branca;21.0;Masculino;Homicídio;PAF;São Miguel dos Campos;Zona Rural;08/09/2017;10
Parda;39.0;Masculino;Roubo com Resultado Morte;PAF;Maceió;Jacintinho;08/09/2017;13
Branca;1.0;Feminino;Homicídio;ESPANCAMENTO;Murici;Centro;08/09/2017;13
Parda;25.0;Masculino;Homicídio;PAF;Barra de Santo Antônio;Zona Rural;08/09/2017;17
Preta;22.0;Masculino;Homicídio;PAF;Anadia;Zona Rural;08/09/2017;21
Parda;21.0;Masculino;Homicídio;PAF;Maceió;Vergel do Lago;08/09/2017;21
Parda;17.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Pontal da Barra;09/09/2017;12
Branca;76.0;Masculino;Lesão Corporal Seguida de Morte;ESPANCAMENTO;Delmiro Gouveia;Centro;09/09/2017;15
Parda;46.0;Masculino;Homicídio;BRANCA;Campestre;Centro;09/09/2017;20
Parda;26.0;Masculino;Homicídio;PAF;Feira Grande;Zona Rural;09/09/2017;21
Parda;25.0;Masculino;Homicídio;BRANCA;Maceió;Jatiúca;09/09/2017;22
Parda;17.0;Masculino;Homicídio;PAF;Teotônio Vilela;Centro;09/09/2017;23
Parda;27.0;Masculino;Homicídio;PAF;Maceió;Cidade Universitária;10/09/2017;01
Parda;24.0;Masculino;Homicídio;ESPANCAMENTO;Maceió;Tabuleiro do Martins;10/09/2017;02
Parda;21.0;Masculino;Homicídio;PAF;São José da Laje;Centro;10/09/2017;02
Branca;20.0;Masculino;Homicídio;PAF/B;Maceió;Jacarecica;10/09/2017;07
Branca;50.0;Masculino;Homicídio;ESPANCAMENTO;Canapi;Centro;10/09/2017;09
Parda;20.0;Masculino;Homicídio;PAF;Maceió;Vergel do Lago;10/09/2017;18
Parda;35.0;Masculino;Homicídio;PAF;Jequiá da Praia;Zona Rural;10/09/2017;19
Parda;26.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;10/09/2017;20
Parda;61.0;Masculino;Homicídio;PAF;Rio Largo;Mata do Rolo;10/09/2017;22
Parda;59.0;Masculino;Homicídio;PAF;Boca da Mata;Centro;11/09/2017;06
Parda;38.0;Masculino;Homicídio;PAF;Coruripe;Zona Rural;11/09/2017;06
Parda;34.0;Feminino;Feminicídio;ESPANCAMENTO;Maceió;Jacintinho;11/09/2017;14
Parda;58.0;Masculino;Homicídio;PAF;Santa Luzia do Norte;Centro;11/09/2017;18
Parda;17.0;Masculino;Homicídio;PAF;Rio Largo;Centro;11/09/2017;18
Parda;34.0;Masculino;Homicídio;PAF;Inhapi;Zona Rural;11/09/2017;18
Parda;57.0;Feminino;Homicídio;PAF;Porto Real do Colégio;Zona Rural;12/09/2017;10
Parda;38.0;Masculino;Homicídio;PAF;Flexeiras;Zona Rural;12/09/2017;20
Branca;18.0;Masculino;Homicídio;PAF;Rio Largo;Mata do Rolo;13/09/2017;11
Preta;20.0;Masculino;Homicídio;PAF;Pilar;Zona Rural;13/09/2017;14
Parda;20.0;Masculino;Homicídio;PAF/B;Maceió;Chã da Jaqueira;13/09/2017;22
Preta;23.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;13/09/2017;22
Preta;31.0;Masculino;Resistência com Resultado Morte;PAF;São Sebastião;Zona Rural;13/09/2017;23
Parda;28.0;Feminino;Feminicídio;ESPANCAMENTO;Maceió;Jacintinho;14/09/2017;03
Parda;18.0;Masculino;Resistência com Resultado Morte;PAF;Japaratinga;Zona Rural;15/09/2017;06
Parda;16.0;Masculino;Homicídio;PAF;Maceió;Trapiche da Barra;15/09/2017;09
Parda;21.0;Masculino;Homicídio;PAF;Maceió;Trapiche da Barra;15/09/2017;09
Preta;28.0;Masculino;Homicídio;BRANCA;Quebrangulo;Centro;15/09/2017;20
NI;19.0;Masculino;Homicídio;PAF;Maragogi;Zona Rural;15/09/2017;22
Parda;19.0;Masculino;Homicídio;PAF;Joaquim Gomes;Zona Rural;16/09/2017;00
Parda;73.0;Masculino;Roubo com Resultado Morte;ESPANCAMENTO;São Brás;Zona Rural;16/09/2017;05
Preta;21.0;Masculino;Homicídio;PAF;Teotônio Vilela;Zona Rural;16/09/2017;15
Parda;67.0;Masculino;Homicídio;BRANCA;Monteirópolis;Centro;16/09/2017;18
Parda;31.0;Masculino;Homicídio;PAF;Palmeira dos Índios;Vila Maria;16/09/2017;19
Parda;29.0;Masculino;Homicídio;PAF/B;Maceió;Cruz das Almas;16/09/2017;19
Parda;18.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;16/09/2017;21
Parda;33.0;Masculino;Homicídio;BRANCA;São Sebastião;Centro;16/09/2017;21
Parda;25.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;16/09/2017;21
Parda;36.0;Masculino;Homicídio;BRANCA;Maceió;Santa Lúcia;17/09/2017;05
Parda;18.0;Masculino;Homicídio;PAF;Maceió;Cidade Universitária;17/09/2017;09
NI;22.0;Masculino;Homicídio;PAF;Junqueiro;Centro;17/09/2017;14
Parda;21.0;Masculino;Homicídio;PAF;Penedo;Dom Constantino;17/09/2017;17
Parda;23.0;Masculino;Homicídio;PAF;Maceió;Ipioca;17/09/2017;18
NI;31.0;Masculino;Homicídio;NI;Roteiro;Zona Rural;18/09/2017;11
Parda;36.0;Masculino;Homicídio;PAF;Maceió;Levada;18/09/2017;21
Parda;14.0;Masculino;Homicídio;PAF;Jacaré dos Homens;Zona Rural;19/09/2017;05
Parda;22.0;Masculino;Homicídio;PAF;Jacaré dos Homens;Zona Rural;19/09/2017;05
Parda;14.0;Masculino;Homicídio;PAF;Jacaré dos Homens;Zona Rural;19/09/2017;05
Parda;16.0;Masculino;Homicídio;PAF;Jacaré dos Homens;Zona Rural;19/09/2017;05
Branca;18.0;Masculino;Homicídio;PAF;Japaratinga;Zona Rural;19/09/2017;05
Parda;19.0;Masculino;Homicídio;ESPANCAMENTO;Arapiraca;Jardim Tropical;19/09/2017;15
Preta;30.0;Masculino;Homicídio;PAF;Penedo;Raimundo Marinho;19/09/2017;18
Parda;37.0;Masculino;Homicídio;PAF;Santa Luzia do Norte;Centro;19/09/2017;18
Parda;29.0;Masculino;Homicídio;PAF;Novo Lino;Zona Rural;20/09/2017;02
Preta;17.0;Masculino;Resistência com Resultado Morte;PAF;Porto Calvo;Zona Rural;20/09/2017;05
Parda;18.0;Masculino;Homicídio;PAF;Maceió;Farol;20/09/2017;11
Parda;69.0;Feminino;Homicídio;BRANCA;São Luís do Quitunde;Zona Rural;20/09/2017;18
Parda;27.0;Masculino;Homicídio;PAF;Maceió;Feitosa;20/09/2017;20
Branca;20.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Jacintinho;20/09/2017;22
Branca;75.0;Masculino;Homicídio;ESPANCAMENTO;Tanque d Arca;Centro;21/09/2017;01
Parda;64.0;Feminino;Homicídio;BRANCA;Porto Calvo;Centro;21/09/2017;04
Parda;18.0;Masculino;Homicídio;PAF;Atalaia;Zona Rural;21/09/2017;07
Branca;49.0;Masculino;Roubo com Resultado Morte;BRANCA;Branquinha;Zona Rural;21/09/2017;17
Parda;19.0;Masculino;Homicídio;ESPANCAMENTO;Branquinha;Zona Rural;21/09/2017;17
Parda;46.0;Masculino;Homicídio;PAF;Maceió;Ponta Grossa;22/09/2017;05
Preta;33.0;Masculino;Homicídio;BRANCA;Viçosa;Zona Rural;22/09/2017;07
Branca;20.0;Masculino;Resistência com Resultado Morte;PAF;União dos Palmares;Padre Donald;22/09/2017;09
Branca;21.0;Masculino;Homicídio;PAF;Arapiraca;Canafístula;22/09/2017;17
Branca;56.0;Masculino;Homicídio;PAF;Maceió;Santos Dumont;22/09/2017;18
NI;24.0;Masculino;Homicídio;BRANCA;Matriz de Camaragibe;Centro;22/09/2017;19
Branca;35.0;Masculino;Homicídio;PAF;Maceió;Tabuleiro do Martins;23/09/2017;11
Parda;10.0;Masculino;Homicídio;AFOGAMENTO;Girau do Ponciano;Zona Rural;23/09/2017;13
Parda;59.0;Feminino;Homicídio;PAF;Maceió;Jacintinho;23/09/2017;16
Branca;49.0;Masculino;Homicídio;PAF;Coruripe;Centro;23/09/2017;18
Parda;16.0;Masculino;Homicídio;PAF;Marechal Deodoro;Barra Nova;23/09/2017;20
Parda;20.0;Masculino;Homicídio;PAF;Coruripe;Zona Rural;23/09/2017;20
Parda;19.0;Masculino;Homicídio;PAF;Santana do Ipanema;Centro;23/09/2017;20
Parda;46.0;Masculino;Homicídio;PAF;Coqueiro Seco;Zona Rural;23/09/2017;21
Parda;35.0;Masculino;Homicídio;PAF;São Miguel dos Campos;Centro;23/09/2017;22
Parda;19.0;Masculino;Homicídio;PAF;Marechal Deodoro;Barra Nova;23/09/2017;23
Branca;23.0;Masculino;Homicídio;BRANCA;Pilar;Chã do Pilar;24/09/2017;00
Parda;34.0;Feminino;Homicídio;PAF;Anadia;Centro;24/09/2017;01
Branca;27.0;Masculino;Homicídio;PAF;Estrela de Alagoas;Zona Rural;24/09/2017;07
Branca;23.0;Feminino;Feminicídio;PAF;Delmiro Gouveia;Zona Rural;24/09/2017;13
Parda;13.0;Masculino;Homicídio;PAF;Palmeira dos Índios;Vila Maria;24/09/2017;22
Parda;32.0;Masculino;Roubo com Resultado Morte;PAF;Maceió;Trapiche da Barra;25/09/2017;03
Parda;19.0;Masculino;Homicídio;ESPANCAMENTO;Mata Grande;Zona Rural;25/09/2017;04
Parda;50.0;Feminino;Homicídio;PAF;Porto Real do Colégio;Bairro não Informado;25/09/2017;06
Parda;28.0;Masculino;Homicídio;BRANCA;Rio Largo;Zona Rural;25/09/2017;08
Parda;19.0;Masculino;Resistência com Resultado Morte;PAF;Marechal Deodoro;Bairro não Informado;26/09/2017;05
Branca;20.0;Masculino;Homicídio;PAF;Girau do Ponciano;Zona Rural;26/09/2017;13
Branca;28.0;Masculino;Homicídio;PAF;Arapiraca;Alto do Cruzeiro;26/09/2017;15
Parda;36.0;Masculino;Homicídio;PAF;Maceió;Clima Bom;26/09/2017;22
Parda;37.0;Masculino;Homicídio;PAF;Penedo;Centro;27/09/2017;06
Parda;19.0;Masculino;Homicídio;BRANCA;Maceió;Tabuleiro do Martins;27/09/2017;10
Parda;65.0;Masculino;Lesão Corporal Seguida de Morte;ESPANCAMENTO;Piaçabuçu;Centro;27/09/2017;14
Branca;38.0;Masculino;Roubo com Resultado Morte;PAF;Murici;Centro;27/09/2017;15
Branca;49.0;Feminino;Feminicídio;ASFIXIA MECÂNICA;Pão de Açúcar;Centro;27/09/2017;15
Branca;17.0;Masculino;Homicídio;BRANCA;Murici;Zona Rural;27/09/2017;17
Branca;41.0;Masculino;Roubo com Resultado Morte;PAF;Arapiraca;Povoado Canaã;27/09/2017;22
Parda;17.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;28/09/2017;19
Branca;28.0;Masculino;Homicídio;BRANCA;Porto Real do Colégio;Centro;28/09/2017;22
Branca;20.0;Masculino;Homicídio;PAF;Santana do Ipanema;Centro;29/09/2017;09
Branca;44.0;Masculino;Homicídio;PAF;São José da Laje;Zona Rural;29/09/2017;11
NI;18.0;Masculino;Homicídio;PAF;Arapiraca;Planalto;29/09/2017;15
Parda;26.0;Masculino;Homicídio;PAF;Piranhas;Zona Rural;29/09/2017;18
Parda;32.0;Feminino;Homicídio;PAF;Murici;Centro;29/09/2017;21
Parda;33.0;Feminino;Feminicídio;BRANCA;Barra de Santo Antônio;Zona Rural;29/09/2017;23
Branca;40.0;Masculino;Homicídio;ESPANCAMENTO;Maceió;Benedito Bentes;30/09/2017;00
Parda;18.0;Masculino;Homicídio;PAF;Maceió;Trapiche da Barra;30/09/2017;16
Preta;37.0;Masculino;Homicídio;PAF;Poço das Trincheiras;Zona Rural;30/09/2017;17
Parda;40.0;Masculino;Homicídio;BRANCA;Coruripe;Pindorama;30/09/2017;20
Parda;17.0;Masculino;Homicídio;PAF;Taquarana;Zona Rural;30/09/2017;22
Branca;28.0;Masculino;Homicídio;PAF;Maceió;Bebedouro;01/10/2017;00
Preta;32.0;Masculino;Homicídio;PAF;Batalha;Centro;01/10/2017;03
Parda;38.0;Masculino;Homicídio;PAF;Maceió;Jatiúca;01/10/2017;06
Parda;NA;Masculino;Homicídio;NI;Flexeiras;Zona Rural;01/10/2017;10
Parda;24.0;Masculino;Homicídio;PAF;União dos Palmares;Roberto Correia de Araújo;01/10/2017;14
Parda;15.0;Masculino;Homicídio;PAF;Coruripe;Centro;01/10/2017;17
Parda;31.0;Masculino;Homicídio;PAF;Coruripe;Centro;01/10/2017;17
Preta;30.0;Masculino;Homicídio;BRANCA;Maceió;Benedito Bentes;01/10/2017;22
Parda;16.0;Masculino;Homicídio;PAF;Boca da Mata;Centro;01/10/2017;22
Parda;23.0;Masculino;Homicídio;PAF;São Miguel dos Campos;Centro;02/10/2017;00
Branca;15.0;Feminino;Homicídio;PAF;Rio Largo;Zona Rural;02/10/2017;12
Parda;16.0;Masculino;Homicídio;PAF;Maceió;Trapiche da Barra;02/10/2017;18
Parda;20.0;Masculino;Homicídio;PAF;União dos Palmares;Alto do Cruzeiro;02/10/2017;19
Parda;27.0;Masculino;Homicídio;OUTROS;Maceió;Bebedouro;03/10/2017;00
Branca;20.0;Masculino;Resistência com Resultado Morte;PAF;Santana do Ipanema;Centro;04/10/2017;06
Parda;26.0;Masculino;Homicídio;PAF;Marechal Deodoro;Zona Rural;04/10/2017;10
Parda;62.0;Masculino;Roubo com Resultado Morte;PAF;Teotônio Vilela;Zona Rural;04/10/2017;18
Parda;21.0;Masculino;Homicídio;PAF;Arapiraca;Sítio Flexeiras;04/10/2017;18
Parda;21.0;Masculino;Homicídio;PAF;Barra de São Miguel;Centro;05/10/2017;07
NI;NA;Masculino;Homicídio;PAF;Lagoa da Canoa;Zona Rural;05/10/2017;08
NI;28.0;Masculino;Homicídio;PAF;São Luís do Quitunde;Zona Rural;05/10/2017;11
Parda;16.0;Masculino;Homicídio;PAF;Satuba;Centro;05/10/2017;19
NI;NA;Masculino;Homicídio;BRANCA;Maceió;Ipioca;06/10/2017;10
Parda;18.0;Masculino;Homicídio;BRANCA;Maravilha;Centro;06/10/2017;13
Parda;19.0;Masculino;Homicídio;PAF;Maravilha;Zona Rural;06/10/2017;17
Parda;41.0;Masculino;Homicídio;PAF;Campo Alegre;Luziápolis;06/10/2017;21
Parda;17.0;Masculino;Homicídio;PAF;Maceió;Santos Dumont;06/10/2017;23
Parda;23.0;Masculino;Homicídio;PAF;Maceió;Santos Dumont;06/10/2017;23
Parda;23.0;Masculino;Homicídio;PAF;Maceió;Santos Dumont;06/10/2017;23
Parda;17.0;Masculino;Homicídio;PAF;Maceió;Santos Dumont;06/10/2017;23
Parda;25.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;07/10/2017;02
Parda;NA;Masculino;Homicídio;NI;Maceió;Bebedouro;07/10/2017;11
Parda;17.0;Masculino;Homicídio;BRANCA;Água Branca;Zona Rural;07/10/2017;12
Parda;38.0;Masculino;Homicídio;PAF;Campo Grande;Centro;07/10/2017;14
Preta;16.0;Masculino;Homicídio;PAF;Teotônio Vilela;Zona Rural;07/10/2017;21
Parda;25.0;Masculino;Homicídio;PAF;Maceió;Chã da Jaqueira;07/10/2017;22
Parda;21.0;Masculino;Homicídio;PAF;Maceió;Riacho Doce;08/10/2017;00
Branca;25.0;Masculino;Homicídio;ESPANCAMENTO;Viçosa;Centro;08/10/2017;20
Parda;17.0;Masculino;Homicídio;ESPANCAMENTO;Maceió;Santa Lúcia;08/10/2017;21
Parda;51.0;Masculino;Homicídio;PAF;Arapiraca;Primavera;08/10/2017;22
Preta;19.0;Masculino;Homicídio;PAF;Marechal Deodoro;Zona Rural;09/10/2017;09
Parda;23.0;Masculino;Homicídio;PAF;Chã Preta;Centro;09/10/2017;21
Parda;55.0;Masculino;Homicídio;BRANCA;Maceió;Gruta de Lourdes;10/10/2017;07
Branca;34.0;Feminino;Feminicídio;BRANCA;Senador Rui Palmeira;Zona Rural;10/10/2017;11
Parda;26.0;Masculino;Homicídio;PAF;Maceió;Cidade Universitária;10/10/2017;21
Parda;56.0;Masculino;Homicídio;PAF;Atalaia;Zona Rural;11/10/2017;16
Parda;46.0;Masculino;Homicídio;PAF;Igaci;Zona Rural;12/10/2017;16
Parda;69.0;Masculino;Homicídio;PAF;Igaci;Zona Rural;12/10/2017;16
Parda;35.0;Masculino;Homicídio;PAF;Inhapi;Centro;13/10/2017;07
Parda;23.0;Masculino;Homicídio;PAF;Jundiá;Centro;13/10/2017;10
Parda;38.0;Masculino;Homicídio;PAF;Maribondo;Zona Rural;13/10/2017;15
Parda;30.0;Masculino;Homicídio;PAF;Cajueiro;Centro;13/10/2017;18
Parda;21.0;Masculino;Homicídio;PAF;São José da Laje;Centro;13/10/2017;19
Parda;22.0;Masculino;Homicídio;ESPANCAMENTO;Maceió;Gruta de Lourdes;13/10/2017;22
Preta;23.0;Masculino;Homicídio;PAF;Flexeiras;Zona Rural;14/10/2017;06
Branca;62.0;Masculino;Homicídio;PAF;Maceió;Prado;14/10/2017;06
Parda;29.0;Masculino;Homicídio;PAF;Feira Grande;Zona Rural;14/10/2017;18
Parda;41.0;Masculino;Homicídio;PAF;Pilar;Chã do Pilar;14/10/2017;22
Parda;23.0;Masculino;Homicídio;PAF;Lagoa da Canoa;Centro;14/10/2017;23
NI;NA;Masculino;Homicídio;ESPANCAMENTO;Rio Largo;Tabuleiro do Pinto;15/10/2017;10
Parda;56.0;Masculino;Homicídio;BRANCA;Coruripe;Centro;15/10/2017;11
Preta;20.0;Masculino;Homicídio;PAF;Palmeira dos Índios;São Cristóvão;15/10/2017;11
Parda;19.0;Masculino;Homicídio;PAF;Maceió;São Jorge;15/10/2017;14
Branca;22.0;Masculino;Homicídio;PAF;Viçosa;Zona Rural;15/10/2017;18
Parda;22.0;Masculino;Homicídio;PAF;São Miguel dos Campos;Zona Rural;16/10/2017;03
Branca;53.0;Masculino;Homicídio;BRANCA;Cajueiro;Centro;16/10/2017;03
Parda;28.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Serraria;16/10/2017;10
Parda;20.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;16/10/2017;16
Parda;46.0;Masculino;Homicídio;PAF;Mata Grande;Centro;16/10/2017;20
Parda;17.0;Masculino;Homicídio;PAF;Arapiraca;Olho d Água dos Cazuzinhos;16/10/2017;21
Parda;21.0;Masculino;Homicídio;PAF;Maceió;Cidade Universitária;17/10/2017;02
Parda;17.0;Masculino;Homicídio;PAF;Satuba;Zona Rural;17/10/2017;05
Branca;18.0;Masculino;Homicídio;PAF;Maceió;Jacarecica;17/10/2017;16
Parda;28.0;Masculino;Homicídio;PAF;Maceió;Jatiúca;17/10/2017;18
Parda;21.0;Masculino;Homicídio;PAF;Pilar;Chã do Pilar;17/10/2017;20
NI;NA;Masculino;Homicídio;PAF;Junqueiro;Centro;18/10/2017;01
Parda;22.0;Masculino;Homicídio;ESPANCAMENTO;Maceió;Ponta Grossa;18/10/2017;05
Preta;27.0;Masculino;Homicídio;PAF;Penedo;Dom Constantino;18/10/2017;08
Parda;32.0;Masculino;Homicídio;BRANCA;Arapiraca;Zona Rural Oeste;18/10/2017;15
Parda;16.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;18/10/2017;20
Branca;27.0;Masculino;Resistência com Resultado Morte;PAF;Penedo;Centro;19/10/2017;05
Branca;19.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Benedito Bentes;19/10/2017;05
Parda;22.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Benedito Bentes;19/10/2017;06
Parda;18.0;Masculino;Homicídio;PAF;Maceió;Jacintinho;19/10/2017;13
Branca;50.0;Masculino;Homicídio;PAF/B;São Luís do Quitunde;Zona Rural;19/10/2017;16
Parda;21.0;Feminino;Homicídio;PAF;Arapiraca;Jardim Esperança;19/10/2017;19
Parda;40.0;Masculino;Homicídio;PAF;Palmeira dos Índios;Zona Rural;19/10/2017;19
